USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
parasshivprasadkulkarni  4402   0.0  0.1 426926304  10432   ??  Ss    3:00PM   0:00.56 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
parasshivprasadkulkarni  4399   0.0  0.1 426951168   4816   ??  S     3:00PM   0:00.19 /usr/libexec/MTLAssetUpgraderD
root              4400   0.0  0.1 411017040   6272   ??  Ss    3:00PM   0:00.12 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
parasshivprasadkulkarni  4401   0.0  0.1 426913616   5744   ??  S     3:00PM   0:00.06 /usr/libexec/backgroundassets.user
_rmd              4398   0.0  0.0 426916688   1680   ??  S     3:00PM   0:00.06 /usr/sbin/cfprefsd agent
_applepay         4397   0.0  0.0 426916688   1712   ??  S     3:00PM   0:00.06 /usr/sbin/cfprefsd agent
parasshivprasadkulkarni  4394   0.0  0.2 426960736  16496   ??  S     3:00PM   0:00.70 /usr/libexec/mlhostd
parasshivprasadkulkarni  4393   0.0  0.0 426917232   3296   ??  S     3:00PM   0:00.03 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
parasshivprasadkulkarni  4392   0.0  0.1 410616400   8192   ??  S     3:00PM   0:00.15 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
_accessoryupdater  4390   0.0  0.0 426916688   1616   ??  S     3:00PM   0:00.06 /usr/sbin/cfprefsd agent
_nsurlsessiond    4389   0.0  0.0 426916688   1648   ??  S     3:00PM   0:00.06 /usr/sbin/cfprefsd agent
root              4385   0.0  0.3 426966448  24224   ??  Ss    3:00PM   0:24.43 /usr/libexec/PerfPowerServices
parasshivprasadkulkarni  4382   0.0  0.0 426918032    224   ??  Ss    3:00PM   0:00.31 /System/Library/PrivateFrameworks/MessagesBlastDoorSupport.framework/Versions/A/XPCServices/MessagesBlastDoorService.xpc/Contents/MacOS/MessagesBlastDoorService
parasshivprasadkulkarni  4381   0.0  0.1 426972576   7104   ??  Ss    3:00PM   0:00.63 /System/Library/PrivateFrameworks/CoreEmbeddedSpeechRecognition.framework/Versions/A/XPCServices/com.apple.siri.embeddedspeech.xpc/Contents/MacOS/com.apple.siri.embeddedspeech
parasshivprasadkulkarni  4380   0.0  0.1 426952608   7088   ??  Ss    3:00PM   0:00.07 /System/Library/PrivateFrameworks/DifferentialPrivacy.framework/XPCServices/DPSubmissionService.xpc/Contents/MacOS/DPSubmissionService
root              4379   0.0  0.1 426950464   7424   ??  Ss    3:00PM   0:01.08 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/modelcatalogd
parasshivprasadkulkarni  4378   0.0  0.1 426955088   4656   ??  S     3:00PM   0:00.34 /usr/libexec/dprivacyd
parasshivprasadkulkarni  4377   0.0  0.2 426958720  18768   ??  S     3:00PM   0:00.93 /usr/libexec/tipsd
parasshivprasadkulkarni  4376   0.0  0.1 426956224  11504   ??  S     3:00PM   0:00.68 /System/Library/Frameworks/FinanceKit.framework/financed
parasshivprasadkulkarni  4374   0.0  0.1 426950064   7536   ??  S     3:00PM   0:00.15 /System/Library/PrivateFrameworks/BusinessChatService.framework/businessservicesd
parasshivprasadkulkarni  4372   0.0  0.1 426917408   7952   ??  S     2:59PM   0:00.77 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/ModelCatalogAgent
parasshivprasadkulkarni  4370   0.0  0.1 426954016   8288   ??  S     2:59PM   0:00.53 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsagent
parasshivprasadkulkarni  4368   0.0  0.1 411181552   7472   ??  Ss    2:59PM   0:00.12 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
_locationd        4367   0.0  0.0 426916688   1632   ??  S     2:59PM   0:00.06 /usr/sbin/cfprefsd agent
_softwareupdate   4366   0.0  0.0 426916688   1648   ??  S     2:59PM   0:00.06 /usr/sbin/cfprefsd agent
parasshivprasadkulkarni  4365   0.0  0.1 426955488   7904   ??  S     2:59PM   0:00.53 /usr/libexec/ciphermld
parasshivprasadkulkarni  4362   0.0  0.1 426955888   9024   ??  S     2:59PM   0:00.18 /System/Library/PrivateFrameworks/PrivateCloudCompute.framework/privatecloudcomputed.app/Contents/MacOS/privatecloudcomputed
root              4364   0.0  0.0 426913024   1952   ??  Ss    2:59PM   0:00.02 /System/Library/CoreServices/ReportCrash daemon
parasshivprasadkulkarni  4358   0.0  0.0 410305744   2432   ??  Ss    2:59PM   0:00.04 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
parasshivprasadkulkarni  4355   0.0  0.1 426950464  11744   ??  S     2:59PM   0:00.52 /System/Library/PrivateFrameworks/GenerativeExperiencesRuntime.framework/Versions/A/generativeexperiencesd
root              4352   0.0  0.0 426917264   3664   ??  Ss    2:59PM   0:00.12 /System/Library/PrivateFrameworks/PerfPowerServicesReader.framework/Versions/A/XPCServices/PerfPowerTelemetryReaderService.xpc/Contents/MacOS/PerfPowerTelemetryReaderService
_cmiodalassistants  4348   0.0  0.0 426916688   1696   ??  S     2:59PM   0:00.07 /usr/sbin/cfprefsd agent
root              4345   0.0  0.1 426954704   7472   ??  Ss    2:59PM   0:00.24 /usr/libexec/symptomsd-diag
root              4342   0.0  0.1 426949744   6240   ??  Ss    2:59PM   0:00.11 /usr/libexec/griddatad
parasshivprasadkulkarni  4344   0.0  0.1 426953168   6624   ??  S     2:59PM   0:00.24 /System/Library/PrivateFrameworks/IntelligencePlatformCore.framework/Versions/A/intelligenceplatformd
root              4343   0.0  0.1 426951488   7984   ??  Ss    2:59PM   0:01.42 /usr/libexec/ospredictiond
root              4338   0.0  0.0 426912640   1664   ??  Ss    2:59PM   0:00.03 /System/Library/CoreServices/liquiddetectiond.app/liquiddetectiond
parasshivprasadkulkarni  4336   0.0  0.3 427020064  21024   ??  S     2:59PM   0:00.48 /System/Library/CoreServices/PowerChime.app/Contents/MacOS/PowerChime
parasshivprasadkulkarni  4334   0.0  0.1 426950944   4384   ??  S     2:59PM   0:01.16 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
parasshivprasadkulkarni  4333   0.0  0.0 410621888   2272   ??  S     2:59PM   0:00.03 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/MacOS/XProtect
root              4316   0.0  0.0 410655920   3472   ??  Ss    2:51PM   0:00.05 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/MacOS/XProtect
parasshivprasadkulkarni  3953   0.0  0.2 411349728  16704   ??  Ss    2:28PM   0:03.11 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTEncoderXPCService.xpc/Contents/MacOS/VTEncoderXPCService
parasshivprasadkulkarni  3913   0.0  0.1 426896320   5072   ??  Ss    2:28PM   0:07.25 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
parasshivprasadkulkarni  3904   0.0  0.0 410304720   2432   ??  Ss    2:28PM   0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
parasshivprasadkulkarni  3903   0.0  0.1 426952368  12400   ??  S     2:27PM   0:00.19 /System/Library/PrivateFrameworks/GeoAnalytics.framework/geoanalyticsd
parasshivprasadkulkarni  3899   0.0  0.0 426912768   2608   ??  S     2:26PM   0:00.03 /usr/libexec/spindump_agent
root              3898   0.0  0.2 426964128  15648   ??  Ss    2:26PM   0:11.34 /usr/sbin/spindump
parasshivprasadkulkarni  3894   0.0  0.1 426917360   4768   ??  Ss    2:24PM   0:00.09 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
parasshivprasadkulkarni  3893   0.0  0.0 410295504   2432   ??  Ss    2:24PM   0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
parasshivprasadkulkarni  3891   0.0  0.2 426956928  18848   ??  S     2:23PM   0:00.83 /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
parasshivprasadkulkarni  3890   0.0  0.2 426953712  14768   ??  S     2:23PM   0:00.43 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
parasshivprasadkulkarni  3889   0.0  0.6 427203136  53536   ??  Ss    2:23PM   1:53.30 /System/Library/ExtensionKit/Extensions/PhotosPicker.appex/Contents/MacOS/PhotosPicker -AppleLanguages ("en", "en-IN")
parasshivprasadkulkarni  3888   0.0  0.0 410946656   2960   ??  Ss    2:23PM   0:00.03 /System/Library/PrivateFrameworks/CSExattrCrypto.framework/Versions/A/XPCServices/CSExattrCryptoService.xpc/Contents/MacOS/CSExattrCryptoService
parasshivprasadkulkarni  3887   0.0  0.2 426902496  14000   ??  Ss    2:23PM   0:00.08 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
parasshivprasadkulkarni  3886   0.0  0.5 411097456  42688   ??  Ss    2:23PM   0:24.95 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
parasshivprasadkulkarni  3874   0.0  0.1 426964448   9184   ??  Ss    2:22PM   0:00.15 /System/Library/ExtensionKit/Extensions/AudiovisualThumbnailExtension.appex/Contents/MacOS/AudiovisualThumbnailExtension
parasshivprasadkulkarni  3873   0.0  0.0 410795104   3216   ??  Ss    2:22PM   0:00.03 /System/Library/PrivateFrameworks/CSExattrCrypto.framework/Versions/A/XPCServices/CSExattrCryptoService.xpc/Contents/MacOS/CSExattrCryptoService
parasshivprasadkulkarni  3872   0.0  0.1 426927488   7024   ??  Ss    2:22PM   0:00.13 /System/Library/ExtensionKit/Extensions/ImageThumbnailExtension.appex/Contents/MacOS/ImageThumbnailExtension
parasshivprasadkulkarni  3869   0.0  0.2 426961344  14000   ??  Ss    2:22PM   0:00.14 /System/Library/Frameworks/QuickLook.framework/Versions/A/XPCServices/QuickLookSatellite.xpc/Contents/MacOS/QuickLookSatellite
parasshivprasadkulkarni  3831   0.0  0.0 410435792   2432   ??  Ss    2:22PM   0:00.06 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
parasshivprasadkulkarni  3820   0.0  0.3 411298624  21104   ??  Ss    2:22PM   0:00.24 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/ThemeWidgetControlViewService.xpc/Contents/MacOS/ThemeWidgetControlViewService
parasshivprasadkulkarni  3817   0.0  0.1 426916992   4224   ??  Ss    2:21PM   0:00.17 /System/Library/Frameworks/CoreGraphics.framework/Versions/A/XPCServices/CGPDFService.xpc/Contents/MacOS/CGPDFService
parasshivprasadkulkarni  3815   0.0  0.0 410614128   2208   ??  Ss    2:21PM   0:00.01 /System/Library/PrivateFrameworks/SiriTTSService.framework/Versions/A/XPCServices/com.apple.SiriTTSService.TrialProxy.xpc/Contents/MacOS/com.apple.SiriTTSService.TrialProxy
parasshivprasadkulkarni  3814   0.0  0.0 410294480   2432   ??  Ss    2:20PM   0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
parasshivprasadkulkarni  3813   0.0  0.0 410295504   2432   ??  Ss    2:20PM   0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
parasshivprasadkulkarni  3812   0.0  0.0 410652048   4128   ??  Ss    2:20PM   0:00.18 /System/Library/PrivateFrameworks/SiriTTSService.framework/Versions/A/XPCServices/com.apple.SiriTTSService.TrialProxy.xpc/Contents/MacOS/com.apple.SiriTTSService.TrialProxy
parasshivprasadkulkarni  3811   0.0  0.0 410660240   3904   ??  Ss    2:20PM   0:00.19 /System/Library/PrivateFrameworks/SiriTTSService.framework/Versions/A/XPCServices/com.apple.SiriTTSService.TrialProxy.xpc/Contents/MacOS/com.apple.SiriTTSService.TrialProxy
parasshivprasadkulkarni  3810   0.0  0.0 410305744   2432   ??  Ss    2:20PM   0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
parasshivprasadkulkarni  3809   0.0  0.1 426955376  10560   ??  S     2:20PM   0:00.25 /System/Library/PrivateFrameworks/TextToSpeechVoiceBankingSupport.framework/Support/voicebankingd
parasshivprasadkulkarni  3807   0.0  0.0 410884720   2800   ??  Ss    2:20PM   0:00.07 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/AUCrashHandlerService.xpc/Contents/MacOS/AUCrashHandlerService
parasshivprasadkulkarni  3808   0.0  0.1 410473488  10832   ??  Ss    2:20PM   0:00.04 /System/Library/PrivateFrameworks/TextToSpeechMauiSupport.framework/Versions/A/PlugIns/MauiAUSP.appex/Contents/MacOS/MauiAUSP -AppleLanguages ("en-IN")
parasshivprasadkulkarni  3806   0.0  0.0 410304720   2432   ??  Ss    2:20PM   0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
parasshivprasadkulkarni  3805   0.0  0.1 410350464   9136   ??  Ss    2:20PM   0:00.03 /System/Library/PrivateFrameworks/TextToSpeechKonaSupport.framework/Versions/A/PlugIns/KonaSynthesizer.appex/Contents/MacOS/KonaSynthesizer -AppleLanguages ("en-IN")
parasshivprasadkulkarni  3804   0.0  0.0 410313936   2432   ??  Ss    2:20PM   0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
parasshivprasadkulkarni  3803   0.0  0.0 410296528   2432   ??  Ss    2:20PM   0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
parasshivprasadkulkarni  3802   0.0  0.1 410506560   8624   ??  Ss    2:20PM   0:00.03 /System/Library/PrivateFrameworks/MacinTalk.framework/Versions/A/PlugIns/WardaSynthesizer_arm64.appex/Contents/MacOS/WardaSynthesizer_arm64 -AppleLanguages ("en-IN")
parasshivprasadkulkarni  3801   0.0  0.0 34012836    532   ??  Ss    2:20PM   0:00.24 /System/Library/PrivateFrameworks/MacinTalk.framework/Versions/A/PlugIns/WardaSynthesizer_x86_64.appex/Contents/MacOS/WardaSynthesizer_x86_64 -AppleLanguages ("en-IN")
parasshivprasadkulkarni  3800   0.0  0.1 410473424  12016   ??  Ss    2:20PM   0:00.05 /System/Library/PrivateFrameworks/MacinTalk.framework/Versions/A/PlugIns/MacinTalkAUSP.appex/Contents/MacOS/MacinTalkAUSP -AppleLanguages ("en-IN")
parasshivprasadkulkarni  3799   0.0  0.1 410218320   9408   ??  Ss    2:20PM   0:00.04 /System/Library/PrivateFrameworks/TextToSpeech.framework/PlugIns/SiriAUSP.appex/Contents/MacOS/SiriAUSP -AppleLanguages ("en-IN")
parasshivprasadkulkarni  3798   0.0  0.0 410163568   2208   ??  Ss    2:20PM   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.ComponentTagHelper.xpc/Contents/MacOS/com.apple.audio.ComponentTagHelper
parasshivprasadkulkarni  3797   0.0  0.1 426952192  11088   ??  S     2:20PM   0:03.04 /System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd
parasshivprasadkulkarni  3794   0.0  0.0 426953712   2896   ??  Ss    2:20PM   0:00.15 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
parasshivprasadkulkarni  3791   0.0  0.3 427172112  24080   ??  Ss    2:20PM   0:01.92 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
parasshivprasadkulkarni  3790   0.0  0.0 410660240   4128   ??  Ss    2:20PM   0:00.19 /System/Library/PrivateFrameworks/SiriTTSService.framework/Versions/A/XPCServices/com.apple.SiriTTSService.TrialProxy.xpc/Contents/MacOS/com.apple.SiriTTSService.TrialProxy
parasshivprasadkulkarni  3789   0.0  0.1 426949968   6416   ??  Ss    2:20PM   0:00.03 /System/Library/Frameworks/Intents.framework/XPCServices/intents_helper.xpc/Contents/MacOS/intents_helper
parasshivprasadkulkarni  3784   0.0  0.1 426972320   8256   ??  S     2:20PM   0:03.58 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
parasshivprasadkulkarni  3781   0.0  0.0 426916720   2288   ??  S     2:20PM   0:00.04 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
parasshivprasadkulkarni  3763   0.0  0.1 410955280   7008   ??  Ss    2:20PM   0:01.05 /Applications/WhatsApp.app/Contents/Frameworks/WAAppKitBridge.framework/Versions/A/PlugIns/MacPlugin.bundle/Contents/Frameworks/WAAppKitBridgeServiceHost.framework/Versions/A/XPCServices/WAAppKitBridgeService.xpc/Contents/MacOS/WAAppKitBridgeService
root              3758   0.0  0.0 426957792   3472   ??  Ss    2:19PM   0:00.16 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
parasshivprasadkulkarni  3757   0.0  0.2 410976032  14768   ??  Ss    2:19PM   0:00.10 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/ThemeWidgetControlViewService.xpc/Contents/MacOS/ThemeWidgetControlViewService
parasshivprasadkulkarni  3753   0.0  0.0 426953712   2848   ??  Ss    2:19PM   0:00.18 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
parasshivprasadkulkarni  3752   0.0  0.2 426954960  12976   ??  S     2:19PM   0:00.43 /System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent
parasshivprasadkulkarni  3751   0.0  0.0 426916704   2048   ??  S     2:19PM   0:00.02 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
parasshivprasadkulkarni  3750   0.0  0.2 426902496  13984   ??  Ss    2:19PM   0:00.10 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
parasshivprasadkulkarni  3749   0.0  0.5 411077888  38400   ??  Ss    2:19PM   0:00.95 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
parasshivprasadkulkarni  3748   0.0  0.0 426916512   3168   ??  S     2:19PM   0:00.06 /usr/libexec/ptpcamerad
parasshivprasadkulkarni  3747   0.0  0.0 410622592   3200   ??  Ss    2:19PM   0:00.02 /System/Library/Frameworks/ImageCaptureCore.framework/Versions/A/XPCServices/mscamerad-xpc.xpc/Contents/MacOS/mscamerad-xpc
parasshivprasadkulkarni  3746   0.0  0.0 426912752   2320   ??  S     2:19PM   0:00.02 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
parasshivprasadkulkarni  3745   0.0  0.0 426949344   4096   ??  S     2:19PM   0:00.07 /usr/libexec/naturallanguaged
parasshivprasadkulkarni  3744   0.0  0.1 426950704   4944   ??  Ss    2:19PM   0:00.03 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
parasshivprasadkulkarni  3743   0.0  0.6 412227376  52160   ??  S     2:19PM   0:06.52 /System/Applications/Preview.app/Contents/MacOS/Preview
parasshivprasadkulkarni  3740   0.0  0.0 33994992    220   ??  Ss    2:19PM   0:01.48 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/CarbonComponentScannerXPC.xpc/Contents/MacOS/CarbonComponentScannerXPC
parasshivprasadkulkarni  3738   0.0  0.1 426949968   7520   ??  S     2:19PM   0:00.16 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
parasshivprasadkulkarni  3736   0.0  0.1 431460816  11456   ??  Ss    2:19PM   0:00.29 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
root              3735   0.0  0.0 410313936   2384   ??  Ss    2:19PM   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
parasshivprasadkulkarni  3734   0.0  0.4 431387936  29728   ??  Ss    2:19PM   0:00.80 /System/Library/ExtensionKit/Extensions/WebThumbnailExtension.appex/Contents/MacOS/WebThumbnailExtension
root              3733   0.0  0.1 426964016   9088   ??  Ss    2:19PM   0:00.28 /usr/sbin/systemsoundserverd
parasshivprasadkulkarni  3732   0.0  0.1 426988128   8944   ??  Ss    2:19PM   0:00.13 /System/Library/ExtensionKit/Extensions/FontThumbnailExtension.appex/Contents/MacOS/FontThumbnailExtension
parasshivprasadkulkarni  3505   0.0  0.1 426950640   8288   ??  S     2:03PM   0:00.40 /System/Library/PrivateFrameworks/CascadeSets.framework/Versions/A/XPCServices/SetStoreUpdateService.xpc/Contents/MacOS/SetStoreUpdateService
parasshivprasadkulkarni  3504   0.0  0.1 426957296  11920   ??  S     2:03PM   0:01.64 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
parasshivprasadkulkarni  3503   0.0  0.3 426968032  28048   ??  S     2:03PM   0:08.09 /usr/libexec/siriknowledged
parasshivprasadkulkarni  3501   0.0  0.1 426950896   7328   ??  S     2:03PM   0:00.19 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
root              3498   0.0  0.0 426950192   3600   ??  Ss    2:03PM   0:00.21 /usr/libexec/mobileactivationd
root              3470   0.0  0.1 426950912   5696   ??  Ss    2:03PM   0:00.60 /usr/libexec/triald_system
root              3458   0.0  0.0 426916240   3376   ??  Ss    2:03PM   0:00.03 /usr/libexec/keybagd -t 15
root              3457   0.0  0.1 426958432   5984   ??  Ss    2:03PM   0:01.36 /usr/libexec/storagekitd
root              3456   0.0  0.1 426950560  11712   ??  Ss    2:03PM   0:00.35 /usr/libexec/PowerUIAgent
parasshivprasadkulkarni  3454   0.0  0.2 426963376  20608   ??  S     1:49PM   0:01.56 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
root              3447   0.0  0.0 426924432   2720   ??  Ss    1:32PM   0:00.12 /System/Library/PrivateFrameworks/AssetCacheServicesExtensions.framework/XPCServices/AssetCacheTetheratorService.xpc/Contents/MacOS/AssetCacheTetheratorService
_assetcache       3445   0.0  0.1 426952560   5088   ??  Ss    1:32PM   0:00.15 /usr/libexec/AssetCache/AssetCache
parasshivprasadkulkarni  3444   0.0  0.0 426916720   2368   ??  S     1:32PM   0:00.04 /System/Library/PrivateFrameworks/GeoServices.framework/geodMachServiceBridge
_neuralengine     3443   0.0  0.1 426950832   4352   ??  Ss    1:32PM   0:00.12 /usr/libexec/aneuserd
root              3441   0.0  0.1 411017040  11728   ??  Ss    1:32PM   0:00.16 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
parasshivprasadkulkarni  3440   0.0  0.1 410919424   8240   ??  Ss    1:32PM   0:00.22 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
parasshivprasadkulkarni  3439   0.0  0.1 426960320   9888   ??  S     1:32PM   0:00.26 /System/Library/CoreServices/ScopedBookmarkAgent
root              3438   0.0  0.0 426951264   4000   ??  Ss    1:32PM   0:00.06 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
root              3437   0.0  0.1 426917616   6096   ??  Ss    1:32PM   0:00.33 /usr/libexec/nesessionmanager
parasshivprasadkulkarni  3436   0.0  0.1 426952144   8800   ??  S     1:32PM   0:00.21 /usr/libexec/swtransparencyd
root              3434   0.0  0.0 426917216   3024   ??  Ss    1:32PM   0:00.11 /usr/libexec/mmaintenanced
root              3433   0.0  0.1 426950464   8240   ??  Ss    1:32PM   0:00.47 /System/Library/CoreServices/osanalyticshelper server-init
_hidd             3432   0.0  0.0 426916128   3184   ??  Ss    1:32PM   0:00.19 /usr/libexec/hidd
parasshivprasadkulkarni  3430   0.0  0.1 427058576   5488   ??  S     1:15PM   0:00.35 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
parasshivprasadkulkarni  3424   0.0  0.1 426959680   9744   ??  S     1:15PM   0:00.25 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
root              3421   0.0  0.1 426950880   9920   ??  Ss    1:15PM   0:00.28 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd --system
parasshivprasadkulkarni  3420   0.0  0.2 427014432  17280   ??  S     1:15PM   0:03.79 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
root              3419   0.0  0.0 411147184   3056   ??  Ss    1:15PM   0:00.07 /System/Library/PrivateFrameworks/PowerLog.framework/Versions/A/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/Contents/MacOS/PerfPowerTelemetryClientRegistrationService
parasshivprasadkulkarni  3418   0.0  0.2 426957408  13664   ??  S     1:15PM   0:00.74 /System/Library/PrivateFrameworks/MapsSync.framework/mapssyncd
parasshivprasadkulkarni  3415   0.0  0.0 410163616   1712   ??  Ss    1:15PM   0:00.02 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
root              3413   0.0  0.0 426916704   2672   ??  Ss    1:15PM   0:10.59 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted_helper
root              3412   0.0  0.0 426951584   3968   ??  Ss    1:15PM   0:00.52 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
root              3411   0.0  0.0 426916704   3440   ??  Ss    1:15PM   0:00.16 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
parasshivprasadkulkarni  3410   0.0  0.1 426953168  10784   ??  S     1:15PM   0:00.23 /usr/libexec/adprivacyd
