--------------------------------------------------------------------------------
			Marvellous Infosystems Process Log
			Log File is Created at : Sun Jun 15 20:58:49 2025
--------------------------------------------------------------------------------
{'pid': 387, 'username': 'root', 'name': 'loginwindow', 'vms': 402584.859375} 
{'pid': 645, 'username': 'parasshivprasadkulkarni', 'name': 'neagent', 'vms': 416952.25} 

{'pid': 646, 'username': 'parasshivprasadkulkarni', 'name': 'useractivityd', 'vms': 416912.109375} 

{'pid': 647, 'username': 'parasshivprasadkulkarni', 'name': 'extensionkitservice', 'vms': 416920.3125} 

{'pid': 649, 'username': 'parasshivprasadkulkarni', 'name': 'cloudd', 'vms': 416960.515625} 

{'pid': 650, 'username': 'parasshivprasadkulkarni', 'name': 'com.apple.dock.extra', 'vms': 401270.75} 

{'pid': 651, 'username': 'parasshivprasadkulkarni', 'name': 'CalendarWidgetExtension', 'vms': 416994.421875} 

{'pid': 654, 'username': 'parasshivprasadkulkarni', 'name': 'icloudmailagent', 'vms': 416944.09375} 

{'pid': 655, 'username': 'parasshivprasadkulkarni', 'name': 'swcd', 'vms': 416953.140625} 

{'pid': 656, 'username': 'parasshivprasadkulkarni', 'name': 'duetexpertd', 'vms': 416990.875} 

{'pid': 657, 'username': 'parasshivprasadkulkarni', 'name': 'sharingd', 'vms': 416960.8125} 

{'pid': 658, 'username': 'parasshivprasadkulkarni', 'name': 'amsondevicestoraged', 'vms': 416946.921875} 

{'pid': 659, 'username': 'parasshivprasadkulkarni', 'name': 'ctkd', 'vms': 416943.765625} 

{'pid': 660, 'username': 'parasshivprasadkulkarni', 'name': 'linkd', 'vms': 416972.859375} 

{'pid': 662, 'username': 'parasshivprasadkulkarni', 'name': 'transparencyd', 'vms': 416960.4375} 

{'pid': 663, 'username': 'parasshivprasadkulkarni', 'name': 'syncdefaultsd', 'vms': 416958.5625} 

{'pid': 665, 'username': 'parasshivprasadkulkarni', 'name': 'coreauthd', 'vms': 416944.78125} 

{'pid': 667, 'username': 'parasshivprasadkulkarni', 'name': 'StatusKitAgent', 'vms': 416949.1875} 

{'pid': 669, 'username': 'parasshivprasadkulkarni', 'name': 'ScreenTimeAgent', 'vms': 416956.53125} 

{'pid': 675, 'username': 'parasshivprasadkulkarni', 'name': 'ReportCrash', 'vms': 416907.25} 

{'pid': 676, 'username': 'parasshivprasadkulkarni', 'name': 'NotificationCenter', 'vms': 401835.109375} 

{'pid': 679, 'username': 'parasshivprasadkulkarni', 'name': 'pbs', 'vms': 416952.75} 

{'pid': 680, 'username': 'parasshivprasadkulkarni', 'name': 'Spotlight', 'vms': 402771.3125} 

{'pid': 681, 'username': 'parasshivprasadkulkarni', 'name': 'UIKitSystem', 'vms': 401476.75} 

{'pid': 682, 'username': 'parasshivprasadkulkarni', 'name': 'WiFiAgent', 'vms': 417173.953125} 

{'pid': 683, 'username': 'parasshivprasadkulkarni', 'name': 'com.apple.geod', 'vms': 416949.28125} 

{'pid': 687, 'username': 'parasshivprasadkulkarni', 'name': 'com.apple.CloudDocs.iCloudDriveFileProvider', 'vms': 416962.296875} 

{'pid': 688, 'username': 'parasshivprasadkulkarni', 'name': 'WeatherWidget', 'vms': 417221.703125} 

{'pid': 689, 'username': 'parasshivprasadkulkarni', 'name': 'cdpd', 'vms': 416942.953125} 

{'pid': 690, 'username': 'parasshivprasadkulkarni', 'name': 'homed', 'vms': 416956.84375} 

{'pid': 693, 'username': 'parasshivprasadkulkarni', 'name': 'extensionkitservice', 'vms': 416920.21875} 

{'pid': 694, 'username': 'parasshivprasadkulkarni', 'name': 'followupd', 'vms': 416910.546875} 

{'pid': 697, 'username': 'parasshivprasadkulkarni', 'name': 'familycircled', 'vms': 416944.25} 

{'pid': 698, 'username': 'parasshivprasadkulkarni', 'name': 'contentlinkingd', 'vms': 416944.078125} 

{'pid': 700, 'username': 'parasshivprasadkulkarni', 'name': 'contactsd', 'vms': 416953.265625} 

{'pid': 702, 'username': 'parasshivprasadkulkarni', 'name': 'akd', 'vms': 416951.078125} 

{'pid': 703, 'username': 'parasshivprasadkulkarni', 'name': 'heard', 'vms': 416955.734375} 

{'pid': 704, 'username': 'parasshivprasadkulkarni', 'name': 'corespeechd', 'vms': 417009.96875} 

{'pid': 707, 'username': 'parasshivprasadkulkarni', 'name': 'BiomeAgent', 'vms': 416944.765625} 

{'pid': 709, 'username': 'parasshivprasadkulkarni', 'name': 'imklaunchagent', 'vms': 401070.140625} 

{'pid': 712, 'username': 'parasshivprasadkulkarni', 'name': 'Siri', 'vms': 401613.75} 

{'pid': 713, 'username': 'parasshivprasadkulkarni', 'name': 'icdd', 'vms': 416943.53125} 

{'pid': 716, 'username': 'parasshivprasadkulkarni', 'name': 'AirPlayUIAgent', 'vms': 401346.90625} 

{'pid': 717, 'username': 'parasshivprasadkulkarni', 'name': 'imagent', 'vms': 416953.28125} 

{'pid': 719, 'username': 'parasshivprasadkulkarni', 'name': 'diagnostics_agent', 'vms': 416944.9375} 

{'pid': 720, 'username': 'parasshivprasadkulkarni', 'name': 'TextInputMenuAgent', 'vms': 402048.1875} 

{'pid': 722, 'username': 'parasshivprasadkulkarni', 'name': 'Grammarly Desktop Helper', 'vms': 401744.734375} 

{'pid': 726, 'username': 'parasshivprasadkulkarni', 'name': 'CursorUIViewService', 'vms': 401651.015625} 

{'pid': 728, 'username': 'parasshivprasadkulkarni', 'name': 'TextInputSwitcher', 'vms': 416989.453125} 

{'pid': 730, 'username': 'parasshivprasadkulkarni', 'name': 'ctkahp', 'vms': 416910.4375} 

{'pid': 733, 'username': 'parasshivprasadkulkarni', 'name': 'searchpartyuseragent', 'vms': 416971.921875} 

{'pid': 735, 'username': 'parasshivprasadkulkarni', 'name': 'commerce', 'vms': 416949.828125} 

{'pid': 737, 'username': 'parasshivprasadkulkarni', 'name': 'TextThumbnailExtension', 'vms': 417173.4375} 

{'pid': 739, 'username': 'parasshivprasadkulkarni', 'name': 'PAH_Extension', 'vms': 416970.09375} 

{'pid': 743, 'username': 'parasshivprasadkulkarni', 'name': 'StocksWidget', 'vms': 417209.515625} 

{'pid': 744, 'username': 'parasshivprasadkulkarni', 'name': 'AppSSOAgent', 'vms': 401870.046875} 

{'pid': 749, 'username': 'parasshivprasadkulkarni', 'name': 'maild', 'vms': 416944.140625} 

{'pid': 753, 'username': 'parasshivprasadkulkarni', 'name': 'ScreenTimeWidgetExtension', 'vms': 417015.625} 

{'pid': 756, 'username': 'parasshivprasadkulkarni', 'name': 'mediaremoteagent', 'vms': 416906.28125} 

{'pid': 757, 'username': 'parasshivprasadkulkarni', 'name': 'avconferenced', 'vms': 416902.46875} 

{'pid': 758, 'username': 'parasshivprasadkulkarni', 'name': 'WorldClockWidget', 'vms': 416979.78125} 

{'pid': 764, 'username': 'parasshivprasadkulkarni', 'name': 'Grammarly Desktop', 'vms': 406746.59375} 

{'pid': 766, 'username': 'parasshivprasadkulkarni', 'name': 'com.apple.Notes.WidgetExtension', 'vms': 416954.5} 

{'pid': 773, 'username': 'parasshivprasadkulkarni', 'name': 'com.apple.WebKit.GPU', 'vms': 421254.625} 

{'pid': 777, 'username': 'parasshivprasadkulkarni', 'name': 'com.apple.WebKit.WebContent', 'vms': 487310.90625} 

{'pid': 780, 'username': 'parasshivprasadkulkarni', 'name': 'com.apple.WebKit.Networking', 'vms': 421641.125} 

{'pid': 793, 'username': 'parasshivprasadkulkarni', 'name': 'FindMyWidgetItems', 'vms': 416954.5625} 

{'pid': 794, 'username': 'parasshivprasadkulkarni', 'name': 'SafariWidgetExtension', 'vms': 417115.734375} 

{'pid': 795, 'username': 'parasshivprasadkulkarni', 'name': 'AssetCacheLocatorService', 'vms': 416946.3125} 

{'pid': 798, 'username': 'parasshivprasadkulkarni', 'name': 'ServiceExtension', 'vms': 400851.53125} 

{'pid': 799, 'username': 'parasshivprasadkulkarni', 'name': 'ShortcutsWidgetExtension', 'vms': 416954.765625} 

{'pid': 808, 'username': 'parasshivprasadkulkarni', 'name': 'PeopleWidget_macOSExtension', 'vms': 416955.015625} 

{'pid': 809, 'username': 'parasshivprasadkulkarni', 'name': 'PodcastsWidget', 'vms': 416993.765625} 

{'pid': 810, 'username': 'parasshivprasadkulkarni', 'name': 'RemindersWidgetExtension', 'vms': 416955.171875} 

{'pid': 811, 'username': 'parasshivprasadkulkarni', 'name': 'FindMyWidgetPeople', 'vms': 416955.125} 

{'pid': 812, 'username': 'parasshivprasadkulkarni', 'name': 'CloudTelemetryService', 'vms': 401843.8125} 

{'pid': 813, 'username': 'parasshivprasadkulkarni', 'name': 'TipsWidgetExtension', 'vms': 416954.5} 

{'pid': 816, 'username': 'parasshivprasadkulkarni', 'name': 'BatteriesAvocadoWidgetExtension', 'vms': 416954.796875} 

{'pid': 818, 'username': 'parasshivprasadkulkarni', 'name': 'HomeWidget', 'vms': 416955.09375} 

{'pid': 822, 'username': 'parasshivprasadkulkarni', 'name': 'PhotosReliveWidget', 'vms': 416954.78125} 

{'pid': 823, 'username': 'parasshivprasadkulkarni', 'name': 'HomeEnergyWidgetsExtension', 'vms': 416955.609375} 

{'pid': 829, 'username': 'parasshivprasadkulkarni', 'name': 'Keychain Circle Notification', 'vms': 416961.125} 

{'pid': 831, 'username': 'parasshivprasadkulkarni', 'name': 'seserviced', 'vms': 416944.609375} 

{'pid': 839, 'username': 'parasshivprasadkulkarni', 'name': 'mdbulkimport', 'vms': 416954.0625} 

{'pid': 842, 'username': 'parasshivprasadkulkarni', 'name': 'Electron', 'vms': 1559062.9375} 

{'pid': 845, 'username': 'parasshivprasadkulkarni', 'name': 'chrome_crashpad_handler', 'vms': 433295.359375} 

{'pid': 846, 'username': 'parasshivprasadkulkarni', 'name': 'Code Helper (GPU)', 'vms': 433885.671875} 

{'pid': 847, 'username': 'parasshivprasadkulkarni', 'name': 'Code Helper', 'vms': 433574.9375} 

{'pid': 850, 'username': 'parasshivprasadkulkarni', 'name': 'BackgroundTaskManagementAgent', 'vms': 416961.375} 

{'pid': 852, 'username': 'parasshivprasadkulkarni', 'name': 'Code Helper (Renderer)', 'vms': 1562902.21875} 

{'pid': 861, 'username': 'parasshivprasadkulkarni', 'name': 'ThemeWidgetControlViewService', 'vms': 401471.0} 

{'pid': 866, 'username': 'parasshivprasadkulkarni', 'name': 'Code Helper', 'vms': 1558568.609375} 

{'pid': 867, 'username': 'parasshivprasadkulkarni', 'name': 'Code Helper', 'vms': 1558586.921875} 

{'pid': 873, 'username': 'parasshivprasadkulkarni', 'name': 'Code Helper (Plugin)', 'vms': 1558562.5} 

{'pid': 874, 'username': 'parasshivprasadkulkarni', 'name': 'Code Helper', 'vms': 1558569.296875} 

{'pid': 876, 'username': 'parasshivprasadkulkarni', 'name': 'SoftwareUpdateNotificationManager', 'vms': 417100.875} 

{'pid': 877, 'username': 'parasshivprasadkulkarni', 'name': 'zsh', 'vms': 400778.1875} 

{'pid': 883, 'username': 'parasshivprasadkulkarni', 'name': 'pet', 'vms': 400908.609375} 

{'pid': 884, 'username': 'parasshivprasadkulkarni', 'name': 'Code Helper (Plugin)', 'vms': 1558546.25} 

{'pid': 890, 'username': 'parasshivprasadkulkarni', 'name': 'zsh', 'vms': 400650.1875} 

{'pid': 915, 'username': 'parasshivprasadkulkarni', 'name': 'Code Helper (Plugin)', 'vms': 1567045.671875} 

{'pid': 934, 'username': 'parasshivprasadkulkarni', 'name': 'Code Helper (Plugin)', 'vms': 1558498.078125} 

{'pid': 951, 'username': 'parasshivprasadkulkarni', 'name': 'Code Helper (Plugin)', 'vms': 1558503.078125} 

{'pid': 1029, 'username': 'parasshivprasadkulkarni', 'name': 'AppPredictionIntentsHelperService', 'vms': 401584.140625} 

{'pid': 1034, 'username': 'parasshivprasadkulkarni', 'name': 'assistant_service', 'vms': 416955.90625} 

{'pid': 1036, 'username': 'parasshivprasadkulkarni', 'name': 'CalendarIntentsExtension', 'vms': 416953.21875} 

{'pid': 1037, 'username': 'parasshivprasadkulkarni', 'name': 'SafariLinkExtension', 'vms': 416953.203125} 

{'pid': 1038, 'username': 'parasshivprasadkulkarni', 'name': 'MessagesActionExtension', 'vms': 416952.96875} 

{'pid': 1039, 'username': 'parasshivprasadkulkarni', 'name': 'appstoreagent', 'vms': 416991.453125} 

{'pid': 1061, 'username': 'parasshivprasadkulkarni', 'name': 'storeaccountd', 'vms': 416943.3125} 

{'pid': 1080, 'username': 'parasshivprasadkulkarni', 'name': 'OSDUIHelper', 'vms': 401652.640625} 

{'pid': 1163, 'username': 'parasshivprasadkulkarni', 'name': 'SiriNCService', 'vms': 417172.765625} 

{'pid': 1198, 'username': 'parasshivprasadkulkarni', 'name': 'spotlightknowledged', 'vms': 401546.640625} 

{'pid': 1280, 'username': 'parasshivprasadkulkarni', 'name': 'dataaccessd', 'vms': 416954.75} 

{'pid': 1282, 'username': 'parasshivprasadkulkarni', 'name': 'metrickitd', 'vms': 416944.4375} 

{'pid': 1462, 'username': 'parasshivprasadkulkarni', 'name': 'AppleSpell', 'vms': 417418.171875} 

{'pid': 1464, 'username': 'parasshivprasadkulkarni', 'name': 'keyboardservicesd', 'vms': 416948.15625} 

{'pid': 2507, 'username': 'parasshivprasadkulkarni', 'name': 'replayd', 'vms': 416959.4375} 

{'pid': 2528, 'username': 'parasshivprasadkulkarni', 'name': 'AuthenticationServicesAgent', 'vms': 421348.953125} 

{'pid': 2530, 'username': 'parasshivprasadkulkarni', 'name': 'keychainsharingmessagingd', 'vms': 416911.015625} 

{'pid': 2854, 'username': 'parasshivprasadkulkarni', 'name': 'SAExtensionOrchestrator', 'vms': 401177.171875} 

{'pid': 2856, 'username': 'parasshivprasadkulkarni', 'name': 'BiomeSELFIngestor', 'vms': 416919.71875} 

{'pid': 2857, 'username': 'parasshivprasadkulkarni', 'name': 'GMSSELFIngestor', 'vms': 416952.4375} 

{'pid': 2858, 'username': 'parasshivprasadkulkarni', 'name': 'IFTelemetrySELFIngestor', 'vms': 416952.265625} 

{'pid': 2859, 'username': 'parasshivprasadkulkarni', 'name': 'IFTranscriptSELFIngestor', 'vms': 416952.515625} 

{'pid': 3126, 'username': 'parasshivprasadkulkarni', 'name': 'coreautha', 'vms': 401384.5625} 

{'pid': 3159, 'username': 'parasshivprasadkulkarni', 'name': 'peopled', 'vms': 416951.75} 

{'pid': 3160, 'username': 'parasshivprasadkulkarni', 'name': 'siriinferenced', 'vms': 401152.828125} 

{'pid': 3166, 'username': 'parasshivprasadkulkarni', 'name': 'SiriSuggestionsBookkeepingService', 'vms': 401459.453125} 

{'pid': 3370, 'username': 'parasshivprasadkulkarni', 'name': 'CommCenter', 'vms': 416956.625} 

{'pid': 3389, 'username': 'parasshivprasadkulkarni', 'name': 'siriactionsd', 'vms': 417000.15625} 

{'pid': 3390, 'username': 'parasshivprasadkulkarni', 'name': 'mobiletimerd', 'vms': 416943.546875} 

{'pid': 3391, 'username': 'parasshivprasadkulkarni', 'name': 'UsageTrackingAgent', 'vms': 416945.375} 

{'pid': 3392, 'username': 'parasshivprasadkulkarni', 'name': 'dmd', 'vms': 416948.6875} 

{'pid': 3393, 'username': 'parasshivprasadkulkarni', 'name': 'amsengagementd', 'vms': 421253.796875} 

{'pid': 3394, 'username': 'parasshivprasadkulkarni', 'name': 'ManagedSettingsAgent', 'vms': 416911.875} 

{'pid': 3395, 'username': 'parasshivprasadkulkarni', 'name': 'ContainerMetadataExtractor', 'vms': 416953.03125} 

{'pid': 3396, 'username': 'parasshivprasadkulkarni', 'name': 'spotlightknowledged', 'vms': 417057.21875} 

{'pid': 3398, 'username': 'parasshivprasadkulkarni', 'name': 'amsaccountsd', 'vms': 416949.140625} 

{'pid': 3399, 'username': 'parasshivprasadkulkarni', 'name': 'milod', 'vms': 416949.078125} 

{'pid': 3400, 'username': 'parasshivprasadkulkarni', 'name': 'appleaccountd', 'vms': 416952.0} 

{'pid': 3401, 'username': 'parasshivprasadkulkarni', 'name': 'localizationswitcherd', 'vms': 416952.921875} 

{'pid': 3404, 'username': 'parasshivprasadkulkarni', 'name': 'inputanalyticsd', 'vms': 416943.65625} 

{'pid': 3405, 'username': 'parasshivprasadkulkarni', 'name': 'deleted', 'vms': 416954.3125} 

{'pid': 3407, 'username': 'parasshivprasadkulkarni', 'name': 'mediaanalysisd', 'vms': 417173.9375} 

{'pid': 3408, 'username': 'parasshivprasadkulkarni', 'name': 'cloudphotod', 'vms': 416973.5} 

{'pid': 3410, 'username': 'parasshivprasadkulkarni', 'name': 'adprivacyd', 'vms': 416946.453125} 

{'pid': 3418, 'username': 'parasshivprasadkulkarni', 'name': 'mapssyncd', 'vms': 416950.59375} 

{'pid': 3420, 'username': 'parasshivprasadkulkarni', 'name': 'photolibraryd', 'vms': 417006.28125} 

{'pid': 3424, 'username': 'parasshivprasadkulkarni', 'name': 'CategoriesService', 'vms': 416952.8125} 

{'pid': 3430, 'username': 'parasshivprasadkulkarni', 'name': 'ContextService', 'vms': 417049.390625} 

{'pid': 3436, 'username': 'parasshivprasadkulkarni', 'name': 'swtransparencyd', 'vms': 416945.453125} 

{'pid': 3439, 'username': 'parasshivprasadkulkarni', 'name': 'ScopedBookmarkAgent', 'vms': 416953.4375} 

{'pid': 3440, 'username': 'parasshivprasadkulkarni', 'name': 'CloudTelemetryService', 'vms': 401288.5} 

{'pid': 3444, 'username': 'parasshivprasadkulkarni', 'name': 'geodMachServiceBridge', 'vms': 416910.859375} 

{'pid': 3454, 'username': 'parasshivprasadkulkarni', 'name': 'photoanalysisd', 'vms': 416956.96875} 

{'pid': 3501, 'username': 'parasshivprasadkulkarni', 'name': 'ProtectedCloudKeySyncing', 'vms': 416944.234375} 

{'pid': 3503, 'username': 'parasshivprasadkulkarni', 'name': 'siriknowledged', 'vms': 416960.96875} 

{'pid': 3504, 'username': 'parasshivprasadkulkarni', 'name': 'IMDPersistenceAgent', 'vms': 416950.484375} 

{'pid': 3505, 'username': 'parasshivprasadkulkarni', 'name': 'SetStoreUpdateService', 'vms': 416943.984375} 

{'pid': 3732, 'username': 'parasshivprasadkulkarni', 'name': 'FontThumbnailExtension', 'vms': 416980.59375} 

{'pid': 3734, 'username': 'parasshivprasadkulkarni', 'name': 'WebThumbnailExtension', 'vms': 421277.28125} 

{'pid': 3736, 'username': 'parasshivprasadkulkarni', 'name': 'com.apple.WebKit.GPU', 'vms': 421348.453125} 

{'pid': 3738, 'username': 'parasshivprasadkulkarni', 'name': 'AudioComponentRegistrar', 'vms': 416943.328125} 

{'pid': 3743, 'username': 'parasshivprasadkulkarni', 'name': 'Preview', 'vms': 402565.796875} 

{'pid': 3745, 'username': 'parasshivprasadkulkarni', 'name': 'naturallanguaged', 'vms': 416942.71875} 

{'pid': 3746, 'username': 'parasshivprasadkulkarni', 'name': 'mdwrite', 'vms': 416906.984375} 

{'pid': 3747, 'username': 'parasshivprasadkulkarni', 'name': 'mscamerad-xpc', 'vms': 400998.625} 

{'pid': 3748, 'username': 'parasshivprasadkulkarni', 'name': 'ptpcamerad', 'vms': 416910.65625} 

{'pid': 3749, 'username': 'parasshivprasadkulkarni', 'name': 'com.apple.appkit.xpc.openAndSavePanelService', 'vms': 401443.25} 

{'pid': 3750, 'username': 'parasshivprasadkulkarni', 'name': 'QuickLookUIService', 'vms': 416896.96875} 

