--------------------------------------------------------------------------------
			Marvellous Infosystems Process Log
			Log File is Created at : Sun Jun 15 20:16:53 2025
--------------------------------------------------------------------------------{'username': 'root', 'name': 'loginwindow', 'pid': 387, 'vms': 402582.125} 
{'username': 'parasshivprasadkulkarni', 'name': 'neagent', 'pid': 645, 'vms': 416952.25} 

{'username': 'parasshivprasadkulkarni', 'name': 'useractivityd', 'pid': 646, 'vms': 416912.109375} 

{'username': 'parasshivprasadkulkarni', 'name': 'extensionkitservice', 'pid': 647, 'vms': 416920.3125} 

{'username': 'parasshivprasadkulkarni', 'name': 'cloudd', 'pid': 649, 'vms': 417037.0} 

{'username': 'parasshivprasadkulkarni', 'name': 'com.apple.dock.extra', 'pid': 650, 'vms': 401269.75} 

{'username': 'parasshivprasadkulkarni', 'name': 'CalendarWidgetExtension', 'pid': 651, 'vms': 416994.421875} 

{'username': 'parasshivprasadkulkarni', 'name': 'icloudmailagent', 'pid': 654, 'vms': 416944.09375} 

{'username': 'parasshivprasadkulkarni', 'name': 'swcd', 'pid': 655, 'vms': 416944.140625} 

{'username': 'parasshivprasadkulkarni', 'name': 'duetexpertd', 'pid': 656, 'vms': 416990.734375} 

{'username': 'parasshivprasadkulkarni', 'name': 'sharingd', 'pid': 657, 'vms': 416960.8125} 

{'username': 'parasshivprasadkulkarni', 'name': 'amsondevicestoraged', 'pid': 658, 'vms': 416947.46875} 

{'username': 'parasshivprasadkulkarni', 'name': 'ctkd', 'pid': 659, 'vms': 416943.765625} 

{'username': 'parasshivprasadkulkarni', 'name': 'linkd', 'pid': 660, 'vms': 416972.859375} 

{'username': 'parasshivprasadkulkarni', 'name': 'transparencyd', 'pid': 662, 'vms': 416960.4375} 

{'username': 'parasshivprasadkulkarni', 'name': 'syncdefaultsd', 'pid': 663, 'vms': 416958.5625} 

{'username': 'parasshivprasadkulkarni', 'name': 'coreauthd', 'pid': 665, 'vms': 416944.78125} 

{'username': 'parasshivprasadkulkarni', 'name': 'StatusKitAgent', 'pid': 667, 'vms': 416949.1875} 

{'username': 'parasshivprasadkulkarni', 'name': 'ScreenTimeAgent', 'pid': 669, 'vms': 416956.53125} 

{'username': 'parasshivprasadkulkarni', 'name': 'ReportCrash', 'pid': 675, 'vms': 416907.25} 

{'username': 'parasshivprasadkulkarni', 'name': 'NotificationCenter', 'pid': 676, 'vms': 401827.640625} 

{'username': 'parasshivprasadkulkarni', 'name': 'pbs', 'pid': 679, 'vms': 416952.75} 

{'username': 'parasshivprasadkulkarni', 'name': 'Spotlight', 'pid': 680, 'vms': 402771.859375} 

{'username': 'parasshivprasadkulkarni', 'name': 'UIKitSystem', 'pid': 681, 'vms': 401476.75} 

{'username': 'parasshivprasadkulkarni', 'name': 'WiFiAgent', 'pid': 682, 'vms': 417173.953125} 

{'username': 'parasshivprasadkulkarni', 'name': 'com.apple.geod', 'pid': 683, 'vms': 416949.28125} 

{'username': 'parasshivprasadkulkarni', 'name': 'com.apple.CloudDocs.iCloudDriveFileProvider', 'pid': 687, 'vms': 416963.390625} 

{'username': 'parasshivprasadkulkarni', 'name': 'WeatherWidget', 'pid': 688, 'vms': 417221.15625} 

{'username': 'parasshivprasadkulkarni', 'name': 'cdpd', 'pid': 689, 'vms': 416942.953125} 

